DVM,LookupCHMIntegrationNotifications,Lookup for CHM Integration Notifications
Integration_Identifier-Notification_Type,From_Email,Email_Recipients,Email_Subject,Email_Body,Notification_Enabled
CHMEXCHANGERATESSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Exchange Rate Sync | Error,Exchange Rate Sync has been failed. Please check Integration log for more information.,Y
CHMITEMCATEGORIESSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Categories Sync | Success,Item Categories Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMITEMCATEGORIESSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Categories Sync | Warning,Item Categories Sync has been completed but no data exists for processing.,Y
CHMITEMCATEGORIESSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Categories Sync | Error,Item Categories Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMITEMCATEGORIESSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Categories Sync | Error,Item Categories Sync has been failed. Please check Integration log for more information.,Y
CHMPRICELISTMASTERSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Price List Master Sync | Success,Price List Master Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMPRICELISTMASTERSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Price List Master Sync | Warning,Price List Master Sync has been completed but no data exists for processing.,Y
CHMPRICELISTMASTERSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Price List Master Sync | Error,Price List Master Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMPRICELISTMASTERSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Price List Master Sync | Error,Price List Master Sync has been failed. Please check Integration log for more information.,Y
CHMITEMMASTERSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Master Sync | Success,Item Master Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMITEMMASTERSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Master Sync | Warning,Item Master Sync has been completed but no data exists for processing.,Y
CHMITEMMASTERSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Master Sync | Error,Item Master Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMITEMMASTERSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Item Master Sync | Error,Item Master Sync has been failed. Please check Integration log for more information.,Y
CHMTICKETINGSERVICE-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ticketing Service | Success,,Y
CHMTICKETINGSERVICE-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ticketing Service | Warning,,Y
CHMTICKETINGSERVICE-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ticketing Service | Error,Ticketing Service has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMTICKETINGSERVICE-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ticketing Service | Error,Ticketing Service has been failed. Please check Integration log for more information. <br><br><br><table style="border-collapse: collapse;width: 100%;">  <tr> <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"><b>Error Details:</b></td> <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_EXECPTIONDETAILS}</td> </tr> </table>,Y
CHMLOOKUPSSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Lookups Sync | Success,Lookups Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMLOOKUPSSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Lookups Sync | Warning,Lookups Sync has been completed but no data exists for processing.,Y
CHMLOOKUPSSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Lookups Sync | Error,Lookups Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMLOOKUPSSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Lookups Sync | Error,Lookups Sync has been failed. Please check Integration log for more information.,Y
CHMLEDGERSSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ledgers Sync | Success,Ledgers Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMLEDGERSSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ledgers Sync | Warning,Ledgers Sync has been completed but no data exists for processing.,Y
CHMLEDGERSSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ledgers Sync | Error,Ledgers Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMLEDGERSSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Ledgers Sync | Error,Ledgers Sync has been failed. Please check Integration log for more information.,Y
CHMBUSINESSUNITSSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Business Units Sync | Success,Business Units Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMBUSINESSUNITSSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Business Units Sync | Warning,Business Units Sync has been completed but no data exists for processing.,Y
CHMBUSINESSUNITSSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Business Units Sync | Error,Business Units Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMBUSINESSUNITSSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Business Units Sync | Error,Business Units Sync has been failed. Please check Integration log for more information.,Y
CHMCALENDARSSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Calendars Sync | Success,Calendars Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
CHMCALENDARSSYNCERPTOCHM-WARNING,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Calendars Sync | Warning,Calendars Sync has been completed but no data exists for processing.,Y
CHMCALENDARSSYNCERPTOCHM-DISABLED,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Calendars Sync | Error,Calendars Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMCALENDARSSYNCERPTOCHM-ERROR,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Calendars Sync | Error,Calendars Sync has been failed. Please check Integration log for more information.,Y
CHMCURRENCIESSYNCERPTOCHM-SUCCESS,oraclecloudnonprodsupport@enphaseenergy.com,"gusingh@enphaseenergy.com,harishaps@enphaseenergy.com,dchandrasekaran@enphaseenergy.com",Currencies Sync | Success,Currencies Sync has been completed successfully.<br><br><br>         <table style="border-collapse: collapse;width: 100%;">             <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Instance Id</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Start Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_START_DATE}</td>                </tr>              <tr>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">End Date</td>               <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_END_DATE}</td>                </tr>           <tr>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records merged</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;">Total records failed to merge</td>             <td style="border: 1px solid #dddddd;text-align: left;padding: 8px;">{P_FAILED_RECORDS}</td>              </tr>         </table>,Y
